Source;Target;Type;weight
UNIVERSITY OF CAPE TOWN;ULUSLAR ILISKILER;directed;1
UNIVERSITY OF CANTERBURY;CONTEMP SE ASIA;directed;1
UNIVERSITY OF CALIFORNIA SYSTEM;REV INT ORGAN;directed;10
UNIVERSITY OF CALIFORNIA SYSTEM;J PEACE RES;directed;8
UNIVERSITY OF CALIFORNIA SYSTEM;CHIN J INT POLIT;directed;1
UNIVERSITY OF CALIFORNIA SYSTEM;J INT RELAT DEV ;directed;1
UNIVERSITY OF CALIFORNIA SYSTEM;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF CALGARY;INT J-TORONTO;directed;5
UNIVERSITY OF CALGARY;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF BUENOS AIRES;REV BRAS POLIT INT;directed;1
UNIVERSITY OF BRITISH COLUMBIA;CONTEMP SECUR POL;directed;1
UNIVERSITY OF BRITISH COLUMBIA;REV INT ORGAN;directed;1
UNIVERSITY OF BRITISH COLUMBIA;J PEACE RES;directed;2
UNIVERSITY OF BRITISH COLUMBIA;CHIN J INT POLIT;directed;2
UNIVERSITY OF BRITISH COLUMBIA;INT J-TORONTO;directed;5
UNIVERSITY OF BRITISH COLUMBIA;CONTEMP SE ASIA;directed;3
UNIVERSITY OF BRISTOL;CONTEMP SECUR POL;directed;2
UNIVERSITY OF BONN;COMMON MKT LAW REV;directed;1
UNIVERSITY OF BONN;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF BOLOGNA;COMMON MKT LAW REV;directed;1
UNIVERSITY OF BIRMINGHAM;J PEACE RES;directed;1
UNIVERSITY OF BIRMINGHAM;J INT RELAT DEV ;directed;3
UNIVERSITY OF BERN;REV INT ORGAN;directed;2
UNIVERSITY OF BERN;J PEACE RES;directed;2
UNIVERSITY OF BERN;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF BERGEN;REV INT ORGAN;directed;1
UNIVERSITY OF BERGEN;COMMON MKT LAW REV;directed;1
UNIVERSITY OF BELGRADE;J PEACE RES;directed;1
UNIVERSITY OF BELGRADE;COMMON MKT LAW REV;directed;1
UNIVERSITY OF BELGRADE;J INT RELAT DEV ;directed;2
UNIVERSITY OF BAYREUTH;ULUSLAR ILISKILER;directed;1
UNIVERSITY OF BATH;J INT RELAT DEV ;directed;2
UNIVERSITY OF BASQUE COUNTRY;COMMON MKT LAW REV;directed;1
UNIVERSITY OF BASQUE COUNTRY;REV BRAS POLIT INT;directed;1
UNIVERSITY OF BASEL;REV INT ORGAN;directed;1
UNIVERSITY OF BASEL;COMMON MKT LAW REV;directed;1
UNIVERSITY OF AUGSBURG;COMMON MKT LAW REV;directed;2
UNIVERSITY OF AUCKLAND;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF ARKANSAS SYSTEM;REV INT ORGAN;directed;1
UNIVERSITY OF ARKANSAS SYSTEM;CHIN J INT POLIT;directed;2
UNIVERSITY OF ARIZONA;J PEACE RES;directed;4
UNIVERSITY OF ANTWERP;CONTEMP SECUR POL;directed;1
UNIVERSITY OF ANTWERP;J PEACE RES;directed;1
UNIVERSITY OF ANTWERP;CHIN J INT POLIT;directed;1
UNIVERSITY OF ANTWERP;COMMON MKT LAW REV;directed;1
UNIVERSITY OF ALABAMA SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF ADELAIDE;AUST J INT AFF;directed;5
UNIVERSITY OF ABERDEEN;J PEACE RES;directed;1
UNIVERSITY NIIGATA PREFECTURE;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY DIEGO PORTALES;J PEACE RES;directed;1
UNIVERSITY COLLEGE DUBLIN;CONTEMP SECUR POL;directed;1
UNIVERSITY COLLEGE DUBLIN;J PEACE RES;directed;1
UNIVERSITY COLLEGE DUBLIN;CHIN J INT POLIT;directed;1
UNIVERSITY COLLEGE DUBLIN;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY COLLEGE CORK;COMMON MKT LAW REV;directed;1
UNIVERSITY COLLEGE CORK;REV BRAS POLIT INT;directed;1
UNIVERSITI UTARA MALAYSIA;J CURR SE ASIAN AFF;directed;1
UNIVERSITI SAINS MALAYSIA;CONTEMP SE ASIA;directed;2
UNIVERSITI MALAYSIA SABAH;AUST J INT AFF;directed;1
UNIVERSITI MALAYA;CONTEMP SE ASIA;directed;2
UNIVERSITI KEBANGSAAN MALAYSIA;J CURR SE ASIAN AFF;directed;2
UNIVERSITI KEBANGSAAN MALAYSIA;AUST J INT AFF;directed;1
UNIVERSITI KEBANGSAAN MALAYSIA;ASIAN PERSPECT-SEOUL;directed;4
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES;COMMON MKT LAW REV;directed;1
UNIVERSITE SORBONNE NOUVELLE - PARIS 3;CONTEMP SECUR POL;directed;1
UNIVERSITE PARIS-VIII;CONTEMP SECUR POL;directed;1
UNIVERSITE LIBRE DE BRUXELLES;CHIN J INT POLIT;directed;1
UNIVERSITE DE TOULOUSE;REV INT ORGAN;directed;1
UNIVERSITE DE RENNES;COMMON MKT LAW REV;directed;1
UNIVERSITE DE MONTREAL;INT J-TORONTO;directed;2
UNIVERSITE CLERMONT AUVERGNE (UCA);CONTEMP SECUR POL;directed;1
UNIVERSITE CATHOLIQUE LOUVAIN;REV BRAS POLIT INT;directed;1
UNIVERSITE CATHOLIQUE DE LILLE;COMMON MKT LAW REV;directed;1
UNIVERSITAT RAMON LLULL;COMMON MKT LAW REV;directed;1
UNIVERSITAT KASSEL;INT J-TORONTO;directed;1
UNIVERSITAT D'ALACANT;REV BRAS POLIT INT;directed;1
UNIVERSITAS NASIONAL PIONIR PERUBAHAN;CONTEMP SE ASIA;directed;1
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA;J CURR SE ASIAN AFF;directed;1
UNIVERSITAS KRISTEN SATYA WACANA;CONTEMP SE ASIA;directed;1
UNIVERSITAS JEMBER;J CURR SE ASIAN AFF;directed;1
UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA;CONTEMP SE ASIA;directed;1
UNIVERSITAS HASANUDDIN;J CURR SE ASIAN AFF;directed;1
UNIVERSITAS HASANUDDIN;CONTEMP SE ASIA;directed;1
UNIVERSITAS BINA NUSANTARA;J CURR SE ASIAN AFF;directed;1
UNIVERSITAS BINA NUSANTARA;AUST J INT AFF;directed;1
UNIVERSITAS ANDALAS;J CURR SE ASIAN AFF;directed;1
UNIVERSITA DELLA SVIZZERA ITALIANA;INT J-TORONTO;directed;1
UNIVERSITA CA FOSCARI VENEZIA;J PEACE RES;directed;2
UNIVERSIDADES ALVES FARIA;REV BRAS POLIT INT;directed;1
UNIVERSIDADE NOVA DE LISBOA;REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL FLUMINENSE;REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;REV BRAS POLIT INT;directed;4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL DO ABC (UFABC);REV BRAS POLIT INT;directed;2
UNIVERSIDADE FEDERAL DE UBERLANDIA;REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL DE SAO PAULO (UNIFESP);REV BRAS POLIT INT;directed;2
UNIVERSIDADE FEDERAL DE SANTA CATARINA (UFSC);REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL DE PERNAMBUCO;REV BRAS POLIT INT;directed;2
UNIVERSIDADE FEDERAL DE MINAS GERAIS;REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL DE GOIAS;REV BRAS POLIT INT;directed;1
UNIVERSIDADE FEDERAL DA PARAIBA;REV BRAS POLIT INT;directed;3
UNIVERSIDADE FEDERAL DA PARAIBA;J INT RELAT DEV ;directed;2
UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;REV BRAS POLIT INT;directed;1
UNIVERSIDADE ESTADUAL PAULISTA;REV BRAS POLIT INT;directed;3
UNIVERSIDADE ESTADUAL DA PARAIBA;REV BRAS POLIT INT;directed;1
UNIVERSIDADE DO SAGRADO CORACAO;REV BRAS POLIT INT;directed;1
UNIVERSIDADE DO MINHO;REV BRAS POLIT INT;directed;2
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;CHIN J INT POLIT;directed;1
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;REV BRAS POLIT INT;directed;3
UNIVERSIDADE DE SAO PAULO;CONTEMP SECUR POL;directed;2
UNIVERSIDADE DE SAO PAULO;REV BRAS POLIT INT;directed;4
UNIVERSIDADE DE LISBOA;REV BRAS POLIT INT;directed;1
UNIVERSIDADE DE COIMBRA;REV BRAS POLIT INT;directed;1
UNIVERSIDADE DE BRASILIA;REV BRAS POLIT INT;directed;7
UNIVERSIDADE CATOLICA DE BRASILIA;REV BRAS POLIT INT;directed;1
UNIVERSIDAD PUBLICA DE NAVARRA;REV INT ORGAN;directed;1
UNIVERSIDAD DEL ROSARIO;ULUSLAR ILISKILER;directed;1
UNIVERSIDAD DEL PACIFICO PERU;REV BRAS POLIT INT;directed;1
UNIVERSIDAD DE MALAGA;COMMON MKT LAW REV;directed;1
UNIVERSIDAD DE LA SALLE;REV BRAS POLIT INT;directed;1
UNIVERSIDAD DE CUENCA;REV BRAS POLIT INT;directed;1
UNIVERSIDAD DE CHILE;J PEACE RES;directed;1
UNIVERSIDAD DE CHILE;ASIAN J WTO INT HEAL;directed;1
UNIVERSIDAD DE BOGOTA JORGE TADEO LOZANO;REV BRAS POLIT INT;directed;1
UNIVERSIDAD DE ANTIOQUIA;J PEACE RES;directed;1
UNIVERSIDAD CATOLICA DEL URUGUAY;REV INT ORGAN;directed;1
UNIVERSIDAD CARLOS III DE MADRID;COMMON MKT LAW REV;directed;1
UNIVERSIDAD AUTONOMA METROPOLITANA - MEXICO;REV BRAS POLIT INT;directed;1
UNIVERSIDAD ARTURO PRAT;REV BRAS POLIT INT;directed;1
UNIVERSIDAD AMERICAS PUEBLA (UDLAP);J INT RELAT DEV ;directed;1
UNIV YANGON UY;ASIAN PERSPECT-SEOUL;directed;1
UNIV TORCUATO TELLA;J PEACE RES;directed;1
UNIV SWABI;ASIAN PERSPECT-SEOUL;directed;1
UNIV ST LOUIS BRUSSELS;COMMON MKT LAW REV;directed;1
UNIV SOUTHERN CALIF USC;ASIAN PERSPECT-SEOUL;directed;1
UNIV SAN FRANCISCO QUITO,;ULUSLAR ILISKILER;directed;1
UNIV ROSARIO POLIT SCI;REV BRAS POLIT INT;directed;1
UNIV PHILIPPINES DILIMAN;J CURR SE ASIAN AFF;directed;1
UNIV PEMBANGUNAN NASL VET JAKARTA;J CURR SE ASIAN AFF;directed;1
UNIV PARIS I PANTHEON SORBONNE;COMMON MKT LAW REV;directed;1
UNIV PARIS I PANTHEON SORBONNE;J CURR SE ASIAN AFF;directed;2
UNIV OXFORD;J CURR SE ASIAN AFF;directed;1
UNIV NOTTINGHAM;ULUSLAR ILISKILER;directed;1
UNIV NORTH KOREAN STUDIES;ASIAN PERSPECT-SEOUL;directed;1
UNIV LISBON;J CURR SE ASIAN AFF;directed;1
UNIV LIEGE;J CURR SE ASIAN AFF;directed;1
UNIV KYRENIA;J INT RELAT DEV ;directed;1
UNIV KENT;J INT RELAT DEV ;directed;2
UNIV JEMBER INT RELAT;REV BRAS POLIT INT;directed;1
UNIV FRENCH WEST INDIES;COMMON MKT LAW REV;directed;1
UNIV CORSE PASCAL PAOLI;COMMON MKT LAW REV;directed;1
UNIV CATOLICA RIO DE JANEIRO;REV BRAS POLIT INT;directed;1
UNIV BRITISH COLUMBIA;REV INT ORGAN;directed;1
UNIV ATHENS;AUST J INT AFF;directed;1
UNITED STATES MILITARY ACADEMY;J PEACE RES;directed;1
UNITED STATES DEPARTMENT OF DEFENSE;J PEACE RES;directed;2
UNITED NATIONS UNIVERSITY,;INT J-TORONTO;directed;1
UNITED NATIONS UNIVERSITY,;AUST J INT AFF;directed;1
UNITED NATIONS UNIVERSITY,;J INT RELAT DEV ;directed;1
UNITED NATIONS UNIVERSITY,;ASIAN PERSPECT-SEOUL;directed;1
UNESP UNICAMP PUC SP;REV BRAS POLIT INT;directed;1
UMEA UNIVERSITY;COMMON MKT LAW REV;directed;1
ULUDAG UNIVERSITY;ULUSLAR ILISKILER;directed;2
UK RESEARCH & INNOVATION (UKRI);J PEACE RES;directed;1
UK RESEARCH & INNOVATION (UKRI);COMMON MKT LAW REV;directed;1
UIT THE ARCTIC UNIVERSITY OF TROMSO;CONTEMP SE ASIA;directed;1
UDICE-FRENCH RESEARCH UNIVERSITIES;CONTEMP SECUR POL;directed;1
UDICE-FRENCH RESEARCH UNIVERSITIES;COMMON MKT LAW REV;directed;2
UBON RATCHATHANI UNIVERSITY;CONTEMP SE ASIA;directed;1
TURKISH GERMAN UNIVERSITY;ULUSLAR ILISKILER;directed;3
TUFTS UNIVERSITY;CONTEMP SECUR POL;directed;1
TUFTS UNIVERSITY;J PEACE RES;directed;1
TUFTS UNIVERSITY;CHIN J INT POLIT;directed;1
TUFTS UNIVERSITY;J INT RELAT DEV ;directed;1
TSINGHUA UNIVERSITY;CHIN J INT POLIT;directed;6
TSINGHUA UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
TRENT UNIVERSITY;INT J-TORONTO;directed;2
TOBB UNIV ECON & TECHNOLO;ULUSLAR ILISKILER;directed;1
TOBB UNIV ECON & TECHNOLO;ULUSLAR ILISKILER;directed;2
TMU SHUANG HO HOSP;ASIAN J WTO INT HEAL;directed;1
TMC ASSER INST;COMMON MKT LAW REV;directed;2
TILBURG UNIVERSITY;J PEACE RES;directed;1
TILBURG UNIVERSITY;COMMON MKT LAW REV;directed;3
THE WORLD BANK,;REV INT ORGAN;directed;2
THE WORLD BANK,;J PEACE RES;directed;1
THAMMASAT UNIVERSITY;J CURR SE ASIAN AFF;directed;1
THAMMASAT UNIVERSITY;CONTEMP SE ASIA;directed;2
THAMMASAT UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
TEXAS CHRISTIAN UNIVERSITY;REV INT ORGAN;directed;1
TEXAS CHRISTIAN UNIVERSITY;J INT RELAT DEV ;directed;2
TEXAS A&M UNIVERSITY SYSTEM;REV INT ORGAN;directed;2
TEXAS A&M UNIVERSITY SYSTEM;J PEACE RES;directed;2
TEXAS A&M UNIVERSITY SYSTEM;CHIN J INT POLIT;directed;1
TEXAS A&M UNIVERSITY SYSTEM;J INT RELAT DEV ;directed;1
TEXAS A&M UNIVERSITY SYSTEM;CONTEMP SE ASIA;directed;1
TEL AVIV UNIVERSITY;CONTEMP SECUR POL;directed;1
TEIKYO UNIVERSITY;AUST J INT AFF;directed;1
TECHNISCHE UNIVERSITAT DRESDEN;REV INT ORGAN;directed;1
TECHNICAL UNIVERSITY OF MUNICH;CONTEMP SECUR POL;directed;2
TECHNICAL UNIVERSITY OF MUNICH;REV INT ORGAN;directed;2
TECHNICAL UNIVERSITY OF MUNICH;INT J-TORONTO;directed;1
TC TICARET BAKANLIGI;ULUSLAR ILISKILER;directed;1
TAIPEI MEDICAL UNIVERSITY;ASIAN J WTO INT HEAL;directed;3
SYRACUSE UNIVERSITY;REV INT ORGAN;directed;1
SYRACUSE UNIVERSITY;J INT RELAT DEV ;directed;1
SWISS GERMAN UNIVERSITY;J CURR SE ASIAN AFF;directed;1
SWISS FED INST TECHNOL;CONTEMP SECUR POL;directed;1
SWINBURNE UNIVERSITY OF TECHNOLOGY;AUST J INT AFF;directed;1
SWEDISH RES INST ISTANBUL;ULUSLAR ILISKILER;directed;1
SWEDISH INST INT NATL AFFAIRS UI;ASIAN PERSPECT-SEOUL;directed;1
SWEDISH INST INT AFFAIRS UI;J INT RELAT DEV ;directed;1
SWEDISH INST INT AFFAIRS;AUST J INT AFF;directed;1
SWEDISH INST INT AFFAIRS;J INT RELAT DEV ;directed;3
SWEDISH INST INT AFFAIRS;ASIAN PERSPECT-SEOUL;directed;3
SWEDISH DEF UNIV;CONTEMP SECUR POL;directed;3
SWEDISH DEF UNIV;ASIAN PERSPECT-SEOUL;directed;3
SWARTHMORE COLLEGE;REV INT ORGAN;directed;1
SWANSEA UNIVERSITY;AUST J INT AFF;directed;1
SWANSEA UNIVERSITY;J INT RELAT DEV ;directed;1
SURVEYMONKEY;AUST J INT AFF;directed;1
SUNGKYUNKWAN UNIVERSITY (SKKU);J PEACE RES;directed;3
SUNGKYUNKWAN UNIVERSITY (SKKU);ASIAN PERSPECT-SEOUL;directed;3
SUNAN AMPEL STATE ISLAMIC UNIV;J CURR SE ASIAN AFF;directed;1
SUNAN AMPEL STATE ISLAMIC UNIV;J CURR SE ASIAN AFF;directed;1
SUFFOLK UNIVERSITY;J INT RELAT DEV ;directed;1
SUAN SUNANDHA RAJABHAT UNIVERSITY;CONTEMP SE ASIA;directed;1
STYTUNG WISSENSCH & POLIT;ULUSLAR ILISKILER;directed;1
STRATEG & DEF STUDIES CTR;AUST J INT AFF;directed;1
STOCKHOLM UNIVERSITY;CONTEMP SECUR POL;directed;1
STOCKHOLM UNIVERSITY;REV INT ORGAN;directed;3
STOCKHOLM UNIVERSITY;J PEACE RES;directed;4
STOCKHOLM UNIVERSITY;COMMON MKT LAW REV;directed;1
STOCKHOLM UNIVERSITY;REV BRAS POLIT INT;directed;1
STOCKHOLM UNIVERSITY;J INT RELAT DEV ;directed;4
STOCKHOLM UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
STIMSON CTR;CONTEMP SE ASIA;directed;2
STELLENBOSCH UNIVERSITY;J INT RELAT DEV ;directed;2
STATE UNIVERSITY SYSTEM OF FLORIDA;REV INT ORGAN;directed;3
STATE UNIVERSITY SYSTEM OF FLORIDA;J PEACE RES;directed;4
STATE UNIVERSITY SYSTEM OF FLORIDA;INT J-TORONTO;directed;1
STATE UNIVERSITY SYSTEM OF FLORIDA;J INT RELAT DEV ;directed;1
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;REV INT ORGAN;directed;2
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;J PEACE RES;directed;3
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;INT J-TORONTO;directed;1
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;J CURR SE ASIAN AFF;directed;1
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;CONTEMP SE ASIA;directed;1
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;ASIAN PERSPECT-SEOUL;directed;2
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;J PEACE RES;directed;1
STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM;INT J-TORONTO;directed;1
STATE ISLAMIC UNIV WALISONGO;J CURR SE ASIAN AFF;directed;1
STATE ISLAMIC INST TULUNGAGUNG;J CURR SE ASIAN AFF;directed;1
STAR STRESS ANXIETY & RESILIENCE CONSULTANTS,;J PEACE RES;directed;1
STANFORD UNIVERSITY;REV INT ORGAN;directed;2
STANFORD UNIVERSITY;J PEACE RES;directed;3
STANFORD UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
STANFORD UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
STAFFORDSHIRE UNIVERSITY;CONTEMP SECUR POL;directed;1
ST PAUL UNIV;CONTEMP SECUR POL;directed;1
ST JOSEPHS COLL MAINE;REV INT ORGAN;directed;1
ST CYR FRENCH ARMY ACAD;CONTEMP SECUR POL;directed;2
SPECIAL COUNSEL BAKER BOTTS LLP;COMMON MKT LAW REV;directed;1
SOUTH CHINA UNIVERSITY OF TECHNOLOGY;ASIAN J WTO INT HEAL;directed;1
SOPHIA UNIVERSITY;REV BRAS POLIT INT;directed;1
SOONGSIL UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;4
SODERTORN UNIVERSITY;J INT RELAT DEV ;directed;1
KOREA SSK HUMAN RIGHTS FORUM;ASIAN PERSPECT-SEOUL;directed;1
BLDG, BUNDOORA CAMPUS;CONTEMP SE ASIA;directed;1
SNB;REV INT ORGAN;directed;2
SINGAPORE UNIVERSITY OF TECHNOLOGY & DESIGN;J CURR SE ASIAN AFF;directed;1
SINGAPORE NATL UNIV;ASIAN PERSPECT-SEOUL;directed;1
SINGAPORE MANAGEMENT UNIVERSITY;CONTEMP SECUR POL;directed;1
SINGAPORE MANAGEMENT UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
SIMON FRASER UNIVERSITY;REV INT ORGAN;directed;1
SIMON FRASER UNIVERSITY;INT J-TORONTO;directed;5
SHINZO ABE ADM COUNCIL SECUR & DEF CAPABIL;ASIAN PERSPECT-SEOUL;directed;1
SHENZHEN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
SHANGHAI UNIV FINANCE & ECON SUFE;REV INT ORGAN;directed;1
SHANGHAI JIAO TONG UNIVERSITY;CONTEMP SECUR POL;directed;1
SHANGHAI JIAO TONG UNIVERSITY;CHIN J INT POLIT;directed;2
SHANGHAI JIAO TONG UNIVERSITY;REV BRAS POLIT INT;directed;1
SHANGHAI INTERNATIONAL STUDIES UNIVERSITY;CHIN J INT POLIT;directed;1
SHANGHAI INTERNATIONAL STUDIES UNIVERSITY;REV BRAS POLIT INT;directed;1
SHANGHAI INTERNATIONAL STUDIES UNIVERSITY;CONTEMP SE ASIA;directed;1
SHANGHAI ACADEMY OF SOCIAL SCIENCES;ASIAN PERSPECT-SEOUL;directed;1
SHANDONG UNIVERSITY;CHIN J INT POLIT;directed;1
SHANDONG UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
SHAHID BEHESHTI UNIVERSITY;J PEACE RES;directed;1
SETON HALL UNIVERSITY;J PEACE RES;directed;1
SERV NACL APRENDIZAGEM IND;REV BRAS POLIT INT;directed;1
SEOUL THEOL UNIV;ASIAN PERSPECT-SEOUL;directed;1
SEOUL NATL UNIV SNU;ASIAN PERSPECT-SEOUL;directed;1
SEOUL NATIONAL UNIVERSITY (SNU);CONTEMP SECUR POL;directed;1
SEOUL NATIONAL UNIVERSITY (SNU);J PEACE RES;directed;1
SEOUL NATIONAL UNIVERSITY (SNU);J INT RELAT DEV ;directed;1
SEOUL NATIONAL UNIVERSITY (SNU);ASIAN PERSPECT-SEOUL;directed;4
SEOUL NATIONAL UNIVERSITY (SNU);ASIAN J WTO INT HEAL;directed;2
SENDAI SHIRAYURI WOMENS UNIV;AUST J INT AFF;directed;1
SENATE CANADA;INT J-TORONTO;directed;1
SCRIPTS CLUSTER EXCELLENCE;J PEACE RES;directed;1
SCIENCES PO;CONTEMP SECUR POL;directed;1
SCI PO LAW SCH;COMMON MKT LAW REV;directed;1
SASAKAWA PEACE FDN;AUST J INT AFF;directed;1
SAPIENZA UNIVERSITY ROME;COMMON MKT LAW REV;directed;1
SALZBURG UNIVERSITY;REV INT ORGAN;directed;2
SALZBURG UNIVERSITY;J PEACE RES;directed;1
SAKARYA UNIVERSITY;ULUSLAR ILISKILER;directed;4
SAIS CHINA;ASIAN PERSPECT-SEOUL;directed;1
SAIS;ASIAN PERSPECT-SEOUL;directed;1
SAINT THOMAS UNIVERSITY CANADA;CONTEMP SE ASIA;directed;1
SAINT MARYS UNIVERSITY - CANADA;INT J-TORONTO;directed;1
SAINT LOUIS UNIVERSITY;J PEACE RES;directed;1
SAINT LOUIS UNIVERSITY;CHIN J INT POLIT;directed;1
SAINT FRANCIS XAVIER UNIVERSITY - CANADA;J PEACE RES;directed;1
SAINT FRANCIS XAVIER UNIVERSITY - CANADA;INT J-TORONTO;directed;3
SAAB GROUP;ASIAN PERSPECT-SEOUL;directed;2
RYUKOKU UNIVERSITY;ULUSLAR ILISKILER;directed;1
RYERSON UNIVERSITY;INT J-TORONTO;directed;2
RYERSON UNIVERSITY;J CURR SE ASIAN AFF;directed;1
RYERSON UNIVERSITY;ULUSLAR ILISKILER;directed;1
RUTGERS STATE UNIVERSITY NEW BRUNSWICK;J PEACE RES;directed;1
RUSSIAN ACADEMY OF SCIENCES;CHIN J INT POLIT;directed;1
RUSSIAN ACADEMY OF SCIENCES;ULUSLAR ILISKILER;directed;1
RUHR UNIVERSITY BOCHUM;REV INT ORGAN;directed;1
RUA MARQUES DE SAO VICENTE 225;CONTEMP SECUR POL;directed;1
RSIS;ASIAN PERSPECT-SEOUL;directed;2
ROYAL THAI ARMY HEADQUARTER;AUST J INT AFF;directed;1
ROYAL NETHERLANDS ACADEMY OF ARTS & SCIENCES;J PEACE RES;directed;1
ROYAL NETHERLANDS ACADEMY OF ARTS & SCIENCES;CONTEMP SE ASIA;directed;2
ROYAL MILITARY COLLEGE - CANADA;CONTEMP SECUR POL;directed;1
ROYAL MILITARY COLLEGE - CANADA;INT J-TORONTO;directed;8
ROYAL MIL COLL;INT J-TORONTO;directed;1
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT);AUST J INT AFF;directed;1
ROYAL DANISH DEF COLL;CONTEMP SECUR POL;directed;1
ROYAL ACAD SCI BELGIUM;CHIN J INT POLIT;directed;1
RITSUMEIKAN UNIVERSITY;AUST J INT AFF;directed;1
RITSUMEIKAN UNIVERSITY;CONTEMP SE ASIA;directed;1
RITSUMEIKAN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
RITSUMEIKAN UNIVERSITY;AUST J INT AFF;directed;1
RICE UNIVERSITY;CHIN J INT POLIT;directed;1
RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS (IFN);REV INT ORGAN;directed;1
RENMIN UNIVERSITY OF CHINA;CHIN J INT POLIT;directed;1
RENMIN UNIVERSITY OF CHINA;AUST J INT AFF;directed;1
RENMIN UNIVERSITY OF CHINA;ASIAN PERSPECT-SEOUL;directed;2
RENMIN UNIVERSITY OF CHINA;ASIAN J WTO INT HEAL;directed;1
RAND CORPORATION;J PEACE RES;directed;3
RAGNAR FRISCH CTR ECON RES;J PEACE RES;directed;1
RADBOUD UNIVERSITY NIJMEGEN;REV INT ORGAN;directed;1
RADBOUD UNIVERSITY NIJMEGEN;COMMON MKT LAW REV;directed;1
RADBOUD UNIVERSITY NIJMEGEN;J INT RELAT DEV ;directed;1
QUEENS UNIVERSITY - CANADA;CONTEMP SECUR POL;directed;2
QUEENS UNIVERSITY - CANADA;INT J-TORONTO;directed;4
QUEENS UNIVERSITY - CANADA;J INT RELAT DEV ;directed;1
QUAID I AZAM UNIVERSITY;J PEACE RES;directed;1
PRINCETON UNIVERSITY;REV INT ORGAN;directed;3
PRINCETON UNIVERSITY;COMMON MKT LAW REV;directed;1
PRINCETON UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
PRINCETON HARVARD CHINA & WORLD PROGRAM;ASIAN PERSPECT-SEOUL;directed;2
PRINCE OF SONGKLA UNIVERSITY;CONTEMP SE ASIA;directed;1
PRAGUE UNIVERSITY OF ECONOMICS & BUSINESS;J INT RELAT DEV ;directed;1
POTSDAM INSTITUT FUR KLIMAFOLGENFORSCHUNG;REV INT ORGAN;directed;1
PORTLAND STATE UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO;CONTEMP SECUR POL;directed;3
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO;REV BRAS POLIT INT;directed;1
PONTIFICIA UNIVERSIDADE CATOLICA DE SAO PAULO;REV BRAS POLIT INT;directed;2
PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;REV BRAS POLIT INT;directed;2
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CONTEMP SECUR POL;directed;1
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;J PEACE RES;directed;1
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CHIN J INT POLIT;directed;1
